Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
		Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27.0	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20		RHL no waves at collection site but waves breaking starting halfway to Lipoa Point, light rain the night before
	yes	no	no	1	Kamaole	NMS	MB	AQ	DH	KWP	KWP171107		Waipuilani Park	2017-11-07	8:20	1	1	1	1	1	19	0	0	Trades	KWP171107	26.1	33.7	5.47	81.5	8.19	8.31	7.70	8.58	8.20	0.055		0	1		0	0	2	
	yes	no	no	1	Kamaole	NMS	MB	AQ	DH	KKS	KKS171107		Kihei South	2017-11-07	9:05	1	1	1	1	1	19	0	0	Trades	KKS171107	26.8	34.7	5.97	90.5	8.22	5.14	5.12	5.25	5.17	0.014		0	1		2	8	0	
	yes	no	no	1	Kamaole	NMS	MB	AQ	DH	KKP	KKP171107		Kalama Park	2017-11-07	9:27	1	1	1	1	1	19	0	0	Trades	KKP171107	27.0	34.8	6.26	95.2	8.22	8.88	8.32	8.21	8.47	0.042		2	1		1	0	0	Turtles visible in the water
	yes	no	no	1	Kamaole	NMS	MB	AQ	DH	KCP	KCP171107		Cove park	2017-11-07	9:55	1	1	1	1	1	19	0	0	Trades	KCP171107	26.9	34.3	6.24	94.5	8.24	1.31	0.98	1.08	1.12	0.151		0	1		20+	1	0	
	yes	no	no	1	Kamaole	NMS	MB	AQ	DH	KKO	KKO171107		Kamaole Beach I	2017-11-07	10:23	1	1	1	1	1	19	0	0	Trades	KKO171107	27.7	35.0	6.44	98.7	8.27	0.97	0.91	1.11	1.00	0.103		0	0		20+	20+	0	
	yes	no	no	1	Kamaole	NMS	MB	AQ	DH	KKT	KKT171107		Kamaole Beach III	2017-11-07	10:50	1	1	1	1	1	19	0	0	Trades	KKT171107	28.0	35.6	6.36	98.9	8.26	1.10	1.43	1.22	1.25	0.134		0	1		20+	20+	0	
	yes	no	no	2	Kamaole	NMS	MB	SG	SP	KWP	KWP171121		Waipuilani Park	2017-11-21	8:05	2	2	2	2	2	5	0	0	Trades	KWP171121	23.6	33.6	5.97	85.4	8.13	11.10	11.30	11.30	11.23	0.010		0	2		0	2	0	
	yes	no	no	2	Kamaole	NMS	MB	SG	SP	KKS	KKS171121		Kihei South	2017-11-21	8:34	2	2	2	2	2	5	0	0	Trades	KKS171121	24.4	34.9	6.27	91.6	8.24	3.11	3.65	3.61	3.46	0.087		0	2		0	0	0	
	yes	no	no	2	Kamaole	NMS	MB	SG	SP	KKP	KKP171121		Kalama Park	2017-11-21	9:00	2	2	2	2	2	5	0	0	Trades	KKP171121	23.7	34.8	6.56	94.8	8.20	3.50	3.33	3.60	3.48	0.039		0	2		2	1	0	
	yes	no	no	2	Kamaole	NMS	MB	SG	SP	KCP	KCP171121		Cove park	2017-11-21	9:20	2	2	2	2	2	5	0	0	Trades	KCP171121	25.3	34.2	6.41	94.7	8.17	1.12	0.85	0.92	0.96	0.145		0	0		0	0	0	
	yes	no	no	2	Kamaole	NMS	MB	SG	SP	KKO	KKO171121		Kamaole Beach I	2017-11-21	9:34	2	2	2	2	2	5	0	0	Trades	KKO171121	25.7	35.6	6.58	98.4	8.22	0.69	0.79	0.69	0.72	0.080		0	0		11	20+	0	
	yes	no	no	2	Kamaole	NMS	MB	SG	SP	KKT	KKT171121		Kamaole Beach III	2017-11-21	10:04	2	2	2	2	2	5	0	0	Trades	KKT171121	25.7	36.1	6.50	97.7	8.21	0.45	0.55	0.49	0.50	0.101		0	1		12	20+	0	
	yes	no	no	3	Kamaole	NMS	SG	SP	DH	KWP	KWP171205		Waipuilani Park	2017-12-05	8:05	1	1	1	1	1	18	3	0	Trades	KWP171205	23.2	33.2	6.48	91.5	8.13	7.91	7.71	7.79	7.80	0.013		2	3		0	3	1	Occasional sprinkle
	yes	no	no	3	Kamaole	NMS	SG	SP	DH	KKS	KKS171205		Kihei South	2017-12-05	8:40	1	1	1	1	1	18	3	0	Trades	KKS171205	23.7	33.7	6.33	90.7	8.15	5.95	5.53	5.81	5.76	0.037		2	3		0	6	0	
	yes	no	no	3	Kamaole	NMS	SG	SP	DH	KKP	KKP171205		Kalama Park	2017-12-05	9:00	1	1	1	1	1	18	3	0	Trades	KKP171205	23.2	34.5	6.46	91.8	8.16	5.79	6.95	6.32	6.35	0.091		2	4		0	4	0	Very windy at the parking lot (4-5), not so much at the beach (3)
	yes	no	no	3	Kamaole	NMS	SG	SP	DH	KCP	KCP171205		Cove park	2017-12-05	9:20	1	1	1	1	1	18	3	0	Trades	KCP171205	24.2	33.3	6.33	91.0	8.13	1.88	1.98	2.20	2.02	0.081		1	3		0	8	0	Windchop water
	yes	no	no	3	Kamaole	NMS	SG	SP	DH	KKO	KKO171205		Kamaole Beach I	2017-12-05	9:40	1	1	1	1	1	18	3	0	Trades	KKO171205	24.3	35.2		97.0	8.19	2.09	2.07	2.02	2.06	0.018		2	3		0	7	0	DO value deleted
	yes	no	no	3	Kamaole	NMS	SG	SP	DH	KKT	KKT171205		Kamaole Beach III	2017-12-05	10:00	1	1	1	1	1	18	3	0	Trades	KKT171205	24.7	35.6	6.67	98.1	8.19	0.62	0.55	0.57	0.58	0.062		2	3		3	6	0	
	yes	no	no	4	Kamaole	NMS	DH	SG	AQ	KWP	KWP171219		Waipuilani Park	2017-12-19	8:13	2	2	2	2	2	3	8	0	Kona	KWP171219	24.5	34.4	6.47	94.4	8.08	20.10	20.70	19.80	20.20	0.023		2	4		0	5	2	Campfire
	yes	no	no	4	Kamaole	NMS	DH	SG	AQ	KKS	KKS171219		Kihei South	2017-12-19	8:35	2	2	2	2	2	3	8	0	Kona	KKS171219	25.1	34.0	6.04	88.9	8.12	7.32	7.37	7.28	7.32	0.006		0	1		0	3	0	
	yes	no	no	4	Kamaole	NMS	DH	SG	AQ	KKP	KKP171219		Kalama Park	2017-12-19	8:50	2	2	2	2	2	3	8	0	Kona	KKP171219	25.0	34.4	6.44	94.8	8.14	4.99	5.53	5.33	5.28	0.052		1	2		3	0	0	
	yes	no	no	4	Kamaole	NMS	DH	SG	AQ	KCP	KCP171219		Cove park	2017-12-19	9:05	2	2	2	2	2	3	8	0	Kona	KCP171219	25.2	32.3	6.22	90.7	8.12	3.37	4.06	3.74	3.72	0.093		1	1		10	0	0	
	yes	no	no	4	Kamaole	NMS	DH	SG	AQ	KKO	KKO171219		Kamaole Beach I	2017-12-19	9:29	2	2	2	2	2	3	8	0	Kona	KKO171219	25.2	34.9	6.64	98.4	8.20	1.72	1.20	1.38	1.43	0.184		1	2		5	18	0	
	yes	no	no	4	Kamaole	NMS	DH	SG	AQ	KKT	KKT171219		Kamaole Beach III	2017-12-19	9:45	2	2	2	2	2	3	8	0	Kona	KKT171219	25.4	35.1	6.58	98.0	8.18	0.69	0.65	0.92	0.75	0.193		1	2		18	25	0	
	yes	no	no	5	Kamaole	NMS	SP	AQ	MB	KWP	KWP180109		Waipuilani Park	2018-01-09	8:07	1	1	1	1	1	23	0	0	Trades	KWP180109	22.4	33.4	6.71	93.3	8.12	21.10	22.10	20.10	21.10	0.047		2	0		3	2	1	
	yes	no	no	5	Kamaole	NMS	SP	AQ	MB	KKS	KKS180109		Kihei South	2018-01-09	8:35	1	1	1	1	1	23	0	0	Trades	KKS180109	23.2	33.8	6.61	93.9	8.12	7.95	9.00	8.17	8.37	0.066		2	0		1	10	0	
