Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
		Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27.0	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20	0	RHL no waves at collection site but waves breaking starting halfway to Lipoa Point, light rain the night before
yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NHP	NHP180222		Haycraft Park	2018-02-22	8:30	2	2	2	2	2	8	8	0	0	NHP180222	24.4	34.7	6.70	97.5	8.14	6.05	6.02	6.09	6.05	0.006		0.5	0		0	9	0	
yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NKP	NKP180222		Kealia Pond	2018-02-22	9:00	2	2	2	2	2	8	8	0	0	NKP180222	24.4	35.7	6.84	100.0	8.18	3.55	3.63	4.06	3.75	0.073		1	1		0	7	0	
yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NSB	NSB180222		Sugar Beach	2018-02-22	9:25	2	2	2	2	2	8	8	0	0	NSB180222	24.6	35.5	6.78	99.3	8.17	6.34	6.34	6.92	6.53	0.051		0.5	1		0	8	0	
yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NKC	NKC180222		Kihei Canoe Club	2018-02-22	9:48	2	2	2	2	2	8	8	0	0	NKC180222	24.8	34.9	6.72	98.5	8.14	3.00	3.69	3.55	3.41	0.107		0.5	0		0	7	0	
yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NMP	NMP180222		Mai Poina Oe Iau	2018-02-22	10:00	2	2	2	2	2	8	8	0	0	NMP180222	24.7	34.3	6.65	97.1	8.14	4.62	4.34	5.12	4.69	0.084		0	0		0	6	0	
yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NKN	NKN180222		Kalepolepo North	2018-02-22	10:21	2	2	2	2	2	8	8	0	0	NKN180222	24.7	33.1	6.55	95.02	8.14	14.60	15.9	13.40	14.63	0.085		0.5	1		0	2	0	
yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NHP	NHP180308		Haycraft Park	2018-03-08	8:06	1	1	1	1	1	21	7	1	Trades	NHP180308	22.9	34.5	6.79	96.1	8.14	5.56	5.47	5.61	5.55	0.013		0	2		0	0	0	
yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NKP	NKP180308		Kealia Pond	2018-03-08	8:30	1	1	1	1	1	21	7	1	Trades	NKP180308	23.0	35.7	6.92	98.5	8.19	0.93	1.37	1.01	1.10	0.212		1	1		0	0	0	
yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NSB	NSB180308		Sugar Beach	2018-03-08	8:50	1	1	1	1	1	21	7	1	Trades	NSB180308	23.6	35.3	6.88	98.0	8.17	1.62	1.89	1.73	1.75	0.078		0	0		0	2	0	
yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NKC	NKC180308		Kihei Canoe Club	2018-03-08	9:10	1	1	1	1	1	21	7	1	Trades	NKC180308	23.9	35.1	6.72	96.9	8.15	1.57	1.82	1.90	1.76	0.098		0	1		0	3	0	
yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NMP	NMP180308		Mai Poina Oe Iau	2018-03-08	9:27	1	1	1	1	1	21	7	1	Trades	NMP180308	23.3	34.0	6.71	95.8	8.13	3.60	4.21	3.75	3.85	0.082		0	1		0	2	0	
yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NKN	NKN180308		Kalepolepo North	2018-03-08	9:47	1	1	1	1	1	21	7	1	Trades	NKN180308	23.3	32.1	6.96	97.7	8.16	4.45	5.17	5.85	5.16	0.136		0	2		0	0	1	
yes	yes	no	no	10	North Kihei	NMS	BC	KT	FB	NHP	NHP180322		Haycraft Park	2018-03-22	8:20	2	2	2	2	2	7	6	0	Trades	NHP180322	23.7	34.3	6.86	98.5	8.16	5.63	6.21	5.92	5.92	0.049		1	1		4	2	8	
yes	yes	no	no	10	North Kihei	NMS	BC	KT	FB	NKP	NKP180322		Kealia Pond	2018-03-22	8:43	2	2	2	2	2	7	6	0	Trades	NKP180322	23.9	34.8	6.84	98.9	8.21	4.39	4.2	4.41	4.33	0.027		1	2		0	3	0	
yes	yes	no	no	10	North Kihei	NMS	BC	KT	FB	NSB	NSB180322		Sugar Beach	2018-03-22	9:10	2	2	2	2	2	7	6	0	Trades	NSB180322	24.6	34.7	6.83	100.0	8.2	2.85	3.68	3.33	3.29	0.127		1	1		2	0	0	
yes	yes	no	no	10	North Kihei	NMS	BC	KT	FB	NKC	NKC180322		Kihei Canoe Club	2018-03-22	9:25	2	2	2	2	2	7	6	0	Trades	NKC180322	24.7	34.3	6.80	99.5	8.19	3.95	3.93	4.40	4.09	0.065		1	0		1	20	0	
yes	yes	no	no	10	North Kihei	NMS	BC	KT	FB	NMP	NMP180322		Mai Poina Oe Iau	2018-03-22	9:45	2	2	2	2	2	7	6	0	Trades	NMP180322	24.6	32.9	6.85	99.0	8.16	2.79	3.98	3.24	3.34	0.180		1	3		0	2	0	
yes	yes	no	no	10	North Kihei	NMS	BC	KT	FB	NKN	NKN180322		Kalepolepo North	2018-03-22	10:00	2	2	2	2	2	7	6	0	Trades	NKN180322	24.3	31.4	6.95	99.2	8.2	4.26	4.79	4.31	4.45	0.066		1	3		2	7	0	
yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NHP	NHP180405		Haycraft Park	2018-04-05	8:13	1	1	1	1	1	19	8	4	Kona	NHP180405	25.4	32.7	6.53	95.5	8.04	6.73	5.14	6.09	5.99	0.134		1	6		3	7	0	
yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NKP	NKP180405		Kealia Pond	2018-04-05	8:42	1	1	1	1	1	19	8	4	Kona	NKP180405	25.7	33.9	6.74	99.8	8.14	5.38	6.18	5.72	5.76	0.070		2	5		0	0	0	
yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NSB	NSB180405		Sugar Beach	2018-04-05	9:00	1	1	1	1	1	19	8	4	Kona	NSB180405	26.0	34.3	6.67	99.6	8.14	5.69	5.7	5.87	5.75	0.018		2	4		0	1	0	
yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NKC	NKC180405		Kihei Canoe Club	2018-04-05	9:22	1	1	1	1	1	19	8	4	Kona	NKC180405	26.3	34.0	6.69	100.3	8.15	5.40	5.97	5.77	5.71	0.051		3	4		4	0	0	
yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NMP	NMP180405		Mai Poina Oe Iau	2018-04-05	9:35	1	1	1	1	1	19	8	4	Kona	NMP180405	26.8	32.8	6.61	99.3	8.12	28.50	28.8	27.60	28.30	0.022		2	3		0	9	0	
yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NKN	NKN180405		Kalepolepo North	2018-04-05	9:51	1	1	1	1	1	19	8	4	Kona	NKN180405	27.0	32.5	6.32	95.0	8.12	34.80	32.4	32.00	33.07	0.046		2	3		6	2	0	
yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NHP	NHP180419		Haycraft Park	2018-04-19	8:10	2	2	2	2	2	4	7	1	Trades	NHP180419	24.8	34.6	6.76	99.2	8.14	2.26	3.04	2.68	2.66	0.147		1	2		0	1	0	
