Organization ID	Monitoring Location ID	Monitoring Location Name	Activity ID	Activity Start Date	Activity Type	Media	Media Subdivision	Result UID	Characteristic	Fraction	Statistic	Value	Unit	Value Type	Detection Condition	Biological Intent	Taxon Name	Status	Last Changed
HUIWAIOLA_WQX	RPO	Pohaku	RPO160614:FM:PS:TS:	06-14-2016	Field Msr/Obs	Water		864973200	"Temperature, water"			25.7	deg C	Actual				Final	11-27-2020 3:30:50 PM
HUIWAIOLA_WQX	RPO	Pohaku	RPO160614:FM:PS:TS:	06-14-2016	Field Msr/Obs	Water		864973201	Salinity			33.3	ppt	Actual				Final	11-27-2020 3:30:50 PM
HUIWAIOLA_WQX	RPO	Pohaku	RPO160614:FM:PS:DO:	06-14-2016	Field Msr/Obs	Water		864973202	Dissolved oxygen (DO)			6.86	mg/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RPO	Pohaku	RPO160614:FM:PS:DO:	06-14-2016	Field Msr/Obs	Water		864973203	Dissolved oxygen saturation			102.1	%	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RPO	Pohaku	RPO160614:FM:WB:	06-14-2016	Field Msr/Obs	Water		864973204	Turbidity			13.90	NTU	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RPO	Pohaku	RPO160614:FM:PS:PH:	06-14-2016	Field Msr/Obs	Water		864973205	pH			8.11	None	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RPO	Pohaku	RPO160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973206	"Total Nitrogen, mixed forms"	"Filtered, field"		311.07	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RPO	Pohaku	RPO160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973207	"Total Phosphorus, mixed forms"	"Filtered, field"		26.26	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RPO	Pohaku	RPO160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973208	Orthophosphate	"Filtered, field"		18.72	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RPO	Pohaku	RPO160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973209	Silicate	"Filtered, field"		1697.47	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RPO	Pohaku	RPO160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973210	Nitrate + Nitrite	"Filtered, field"		233.11	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RPO	Pohaku	RPO160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973211	Ammonium	"Filtered, field"		2.81	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RKS	Kaanapali Shores	RKS160614:FM:PS:TS:	06-14-2016	Field Msr/Obs	Water		864973212	"Temperature, water"			24.9	deg C	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RKS	Kaanapali Shores	RKS160614:FM:PS:TS:	06-14-2016	Field Msr/Obs	Water		864973213	Salinity			23.8	ppt	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RKS	Kaanapali Shores	RKS160614:FM:PS:DO:	06-14-2016	Field Msr/Obs	Water		864973214	Dissolved oxygen (DO)			6.86	mg/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RKS	Kaanapali Shores	RKS160614:FM:PS:DO:	06-14-2016	Field Msr/Obs	Water		864973215	Dissolved oxygen saturation			100.6	%	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RKS	Kaanapali Shores	RKS160614:FM:WB:	06-14-2016	Field Msr/Obs	Water		864973216	Turbidity			16.80	NTU	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RKS	Kaanapali Shores	RKS160614:FM:PS:PH:	06-14-2016	Field Msr/Obs	Water		864973217	pH			8.07	None	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RKS	Kaanapali Shores	RKS160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973218	"Total Nitrogen, mixed forms"	"Filtered, field"		75.08	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RKS	Kaanapali Shores	RKS160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973219	"Total Phosphorus, mixed forms"	"Filtered, field"		18.80	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RKS	Kaanapali Shores	RKS160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973220	Orthophosphate	"Filtered, field"		9.06	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RKS	Kaanapali Shores	RKS160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973221	Silicate	"Filtered, field"		1720.37	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RKS	Kaanapali Shores	RKS160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973222	Nitrate + Nitrite	"Filtered, field"		5.65	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RKS	Kaanapali Shores	RKS160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973223	Ammonium	"Filtered, field"		4.15	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RAB	Airport Beach	RAB160614:FM:PS:TS:	06-14-2016	Field Msr/Obs	Water		864973224	"Temperature, water"			26.8	deg C	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RAB	Airport Beach	RAB160614:FM:PS:TS:	06-14-2016	Field Msr/Obs	Water		864973225	Salinity			35.0	ppt	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RAB	Airport Beach	RAB160614:FM:PS:DO:	06-14-2016	Field Msr/Obs	Water		864973226	Dissolved oxygen (DO)			6.72	mg/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RAB	Airport Beach	RAB160614:FM:PS:DO:	06-14-2016	Field Msr/Obs	Water		864973227	Dissolved oxygen saturation			101.6	%	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RAB	Airport Beach	RAB160614:FM:WB:	06-14-2016	Field Msr/Obs	Water		864973228	Turbidity			2.62	NTU	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RAB	Airport Beach	RAB160614:FM:PS:PH:	06-14-2016	Field Msr/Obs	Water		864973229	pH			8.06	None	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RAB	Airport Beach	RAB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973230	"Total Nitrogen, mixed forms"	"Filtered, field"		91.26	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RAB	Airport Beach	RAB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973231	"Total Phosphorus, mixed forms"	"Filtered, field"		10.73	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RAB	Airport Beach	RAB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973232	Orthophosphate	"Filtered, field"		8.46	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RAB	Airport Beach	RAB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973233	Silicate	"Filtered, field"		604.37	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RAB	Airport Beach	RAB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973234	Nitrate + Nitrite	"Filtered, field"		24.72	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RAB	Airport Beach	RAB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973235	Ammonium	"Filtered, field"		1.88	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:FM:PS:TS:	06-14-2016	Field Msr/Obs	Water		864973236	"Temperature, water"			27.2	deg C	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:FM:PS:TS:	06-14-2016	Field Msr/Obs	Water		864973237	Salinity			34.7	ppt	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:FM:PS:DO:	06-14-2016	Field Msr/Obs	Water		864973238	Dissolved oxygen (DO)			6.78	mg/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:FM:PS:DO:	06-14-2016	Field Msr/Obs	Water		864973239	Dissolved oxygen saturation			103.5	%	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:FM:WB:	06-14-2016	Field Msr/Obs	Water		864973240	Turbidity			5.86	NTU	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:FM:PS:PH:	06-14-2016	Field Msr/Obs	Water		864973241	pH			8.06	None	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973242	"Total Nitrogen, mixed forms"	"Filtered, field"		117.22	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973243	"Total Phosphorus, mixed forms"	"Filtered, field"		16.68	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973244	Orthophosphate	"Filtered, field"		9.40	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973245	Silicate	"Filtered, field"		576.28	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973246	Nitrate + Nitrite	"Filtered, field"		49.04	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RCB	Canoe Beach	RCB160614:SR:WB:	06-14-2016	Sample-Routine	Water		864973247	Ammonium	"Filtered, field"		2.27	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RWA	Wahikuli	RWA160614:FM:PS:TS:	06-14-2016	Field Msr/Obs	Water		864973248	"Temperature, water"			27.3	deg C	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	RWA	Wahikuli	RWA160614:FM:PS:TS:	06-14-2016	Field Msr/Obs	Water		864973249	Salinity			34.6	ppt	Actual				Final	11-27-2020 3:30:51 PM
