Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
			Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27.0	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20		RHL no waves at collection site but waves breaking starting halfway to Lipoa Point, light rain the night before
yes	yes	yes	no	no	8	Wailea	NMS	HH	DM	JJ	WKD	WKD180223		Kilohana Dr	2018-02-23	8:05	2	2	2	2	2	9	7	2	Trades	WKD180223	24.3	35.7	6.87	100.5	8.18	0.68	0.73	0.73	0.71	0.040		1	0		2	20	0	
yes	yes	yes	no	no	8	Wailea	NMS	HH	DM	JJ	WKB	WKB180223		Keawakapu Beach	2018-02-23	8:42	2	2	2	2	2	9	7	2	Trades	WKB180223	24.6	35.6	6.87	100.9	8.16	0.87	0.96	0.98	0.94	0.063		1	0		8	25	0	
yes	yes	yes	no	no	8	Wailea	NMS	HH	DM	JJ	WUL	WUL180223		Ulua Beach	2018-02-23	9:15	2	2	2	2	2	9	7	2	Trades	WUL180223	24.9	35.3	6.92	102.1	8.16	1.45	1.65	1.58	1.56	0.065		1	1		30	35	0	
yes	yes	yes	no	no	8	Wailea	NMS	HH	DM	JJ	WWA	WWA180223		Wailea Beach	2018-02-23	9:47	2	2	2	2	2	9	7	2	Trades	WWA180223	24.9	35.7	6.90	101.9	8.17	1.52	1.63	1.64	1.60	0.042		2	1		14	60	0	
yes	yes	yes	no	no	8	Wailea	NMS	HH	DM	JJ	WPL	WPL180223		Palauea Beach	2018-02-23	10:19	2	2	2	2	2	9	7	2	Trades	WPL180223	24.7	35.7	6.91	101.5	8.17	1.85	2.22	2.29	2.12	0.112		3	1		3	11	0	
yes	yes	no	no	no	8	Wailea	NMS	HH	DM	JJ	WPO	WPO180223		Poolenalena Beach	2018-02-23	10:40	2	2	2	2	2	9	7	2	Trades	WPO180223	24.9	35.6	6.90	101.7	8.20	0.60	0.63	0.69	0.64	0.072		3	1		0	8	1	Sample not sent to SOEST lab
yes	yes	yes	no	no	9	Wailea	NMS	JJ	SD		WKD	WKD180309		Kilohana Dr	2018-03-09	7:57	1	1	1	1	1	22	8	0	Trades	WKD180309	22.1	35.3	7.00	98.0	8.18	0.60	0.63	0.59	0.61	0.034		1	2		0	3	0	
yes	yes	yes	no	no	9	Wailea	NMS	JJ	SD		WKB	WKB180309		Keawakapu Beach	2018-03-09	8:20	1	1	1	1	1	22	8	0	Trades	WKB180309	22.3	34.8	6.94	97.2	8.17	0.98	1.57	1.01	1.19	0.280		1	2		0	12	0	
